Time,Res_Freq,Amplitude,Phase,Sample_number,Peak,Before_compression,After_compression,Compression_ratio,Compression_time
1635.350537,1446.232142,25.298,-4.96,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1646.350166,1446.237225,25.284,-4.97,7,0,14.33,0.0,inf,340.75648900000084
1653.450572,1446.251135,25.318,-4.91,7,0,14.33,0.0,inf,340.75648900000084
1855.35012,1446.276085,28.276,-5.25,7,0,14.33,0.0,inf,340.75648900000084
1647.850252,1446.286453,25.338,-4.78,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1248.600416,1446.304625,26.116,-5.31,9,1,12.8,0.0,inf,251.94340899999997
138.549925,1446.309539,25.406,-6.99,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
895.000191,1446.320217,25.966,-3.39,10,0,12.8,10.3,1.2427184466019416,22.800303999999997
1043.750699,1446.320474,27.024,-3.48,9,1,12.8,10.3,1.2427184466019416,251.94340899999997
2587.049971,1446.326353,20.48,-5.04,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1113.850708,1446.329307,23.036,-5.38,11,1,14.33,11.3,1.2681415929203539,209.20896600000006
2214.050636,1446.355461,27.602,-4.47,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
40.150297,1446.371188,26.312,-5.16,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1113.654697,1446.383576,23.05,-5.45,11,1,14.33,0.0,inf,209.20896600000006
678.499808,1446.405102,25.198,-6.95,7,0,14.33,0.0,inf,340.75648900000084
1270.950695,1446.41822,26.44,-4.75,9,1,12.8,0.0,inf,251.94340899999997
899.500448,1446.425819,25.646,-8.91,10,0,12.8,10.3,1.2427184466019416,22.800303999999997
1256.449865,1446.438199,26.316,-6.38,9,1,12.8,0.0,inf,251.94340899999997
1113.35068,1446.464353,23.02,-5.48,11,1,14.33,11.3,1.2681415929203539,209.20896600000006
1038.200382,1446.475267,24.918,-7.43,9,1,12.8,0.0,inf,251.94340899999997
915.150343,1446.488041,27.06,-3.66,10,0,12.8,10.3,1.2427184466019416,22.800303999999997
726.050528,1446.497345,25.236,-6.16,7,0,14.33,0.0,inf,340.75648900000084
1113.250674,1446.499693,23.038,-5.35,11,1,14.33,11.3,1.2681415929203539,209.20896600000006
2521.500222,1446.499735,21.004,-4.92,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
2521.200204,1446.513619,20.98,-5.0,7,0,14.33,0.0,inf,340.75648900000084
1686.600468,1446.522989,27.156,-4.33,7,0,14.33,0.0,inf,340.75648900000084
2519.90013,1446.545172,20.992,-5.03,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1868.349864,1446.549438,22.85,-13.3,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1714.100041,1446.552462,26.598,-2.27,7,0,14.33,0.0,inf,340.75648900000084
1058.350534,1446.556585,27.31,-4.09,1,0,14.6,0.0,inf,49.899853999999976
